Country	GDP	Export	Import	Code	Year
Belgium	410247	340295	333443	BEL	2015
Bulgaria	45287	29032	28965	BGR	2015
Czech Republic	166964	138506	128270	CZE	2015
Denmark	271786	150099	129983	DNK	2015
Germany (until 1990 former territory of the FRG)	3032820	1418789	1189250	DEU	2015
Estonia	20252	16057	15217	EST	2015
Ireland	255815	317197	235985	IRL	2015
Greece	175697	56074	55821	GRC	2015
Spain	1075639	356873	330527	ESP	2015
France	2181064	654922	684960	FRA	2015
Italy	1645439	493934	446042	ITA	2015
Cyprus	17637	10797	10738	CYP	2015
Latvia	24368	14361	14636	LVA	2015
Lithuania	37331	28320	28563	LTU	2015
Luxembourg	52340	118871	100710	LUX	2015
Hungary	109674	99504	89731	HUN	2015
Malta	9276	13356	12630	MLT	2015
Netherlands	676531	557890	484963	NLD	2015
Austria	339896	180350	166726	AUT	2015
Poland	430038	212967	199659	POL	2015
Portugal	179504	72808	71503	PRT	2015
Romania	159964	65759	66743	ROU	2015
Slovenia	38570	30060	26543	SVN	2015
Slovakia	78686	73562	71654	SVK	2015
Finland	209511	77186	77810	FIN	2015
Sweden	447010	203792	182574	SWE	2015
United Kingdom	2580065	712893	753932	GBR	2015
Iceland	15134	8125	6987	ISL	2015
Norway	348332	130227	111328	NOR	2015
Switzerland	604510	380255	309444	CHE	2015
Serbia	33491	15632	18898	SRB	2015
