Country	GDP	Export	Import	Code	Year
Belgium	387500	318935	316546	BEL	2012
Bulgaria	41947	25505	26836	BGR	2012
Czech Republic	161434	122965	115212	CZE	2012
Denmark	254578	139077	123752	DNK	2012
Germany (until 1990 former territory of the FRG)	2758260	1268318	1100331	DEU	2012
Estonia	17935	15422	15144	EST	2012
Ireland	175753	187662	157516	IRL	2012
Greece	191204	54845	63353	GRC	2012
Spain	1039758	319223	303950	ESP	2012
France	2086929	595230	640240	FRA	2012
Italy	1613265	461174	445237	ITA	2012
Cyprus	19467	10416	10705	CYP	2012
Latvia	22058	13524	14505	LVA	2012
Lithuania	33348	27220	26933	LTU	2012
Luxembourg	44112	82245	68558	LUX	2012
Hungary	99086	85976	79324	HUN	2012
Malta	7160	11881	11535	MLT	2012
Netherlands	645164	528623	466677	NLD	2012
Austria	317117	170599	162374	AUT	2012
Poland	389369	173053	174767	POL	2012
Portugal	168398	63504	64359	PRT	2012
Romania	133511	50019	56659	ROU	2012
Slovenia	36003	26381	24859	SVN	2012
Slovakia	72704	66473	63807	SVK	2012
Finland	199793	78881	81764	FIN	2012
Sweden	423341	196105	175229	SWE	2012
United Kingdom	2065737	615562	661604	GBR	2012
Iceland	11065	6304	5643	ISL	2012
Norway	396678	161115	109838	NOR	2012
Switzerland	517391	348403	294421	CHE	2012
Serbia	31683	11700	16981	SRB	2012
