Country	Code	GDP	Fertility	Population	Continent	Normalized	Logged	LogGDP
Malaysia	MYS	9768	1.9	30331007	Asia	5.029007157	7.481886829	3.989820183
Maldives	MDV	8396	2.1	409163	Asia	3.084709951	5.611896354	3.924061319
Mali	MLI	724	6.1	17599694	Africa	4.783232481	7.245505117	2.859892272
Malta	MLT	22568	1.4	431874	Europe	3.1091029	5.635357059	4.353490687
Mauritius	MUS	9252	1.4	1262605	Africa	3.59352696	6.101267505	3.966240822
Mexico	MEX	9005	2.2	127017224	America	5.675698037	8.103862617	3.954484887
Micronesia. Fed. Sts.	FSM	3015	3.2	104460	Asia	2.468202053	5.018950022	3.479320686
Moldova	MDA	1848	1.2	3554108	Europe	4.060850132	6.550730621	3.266721623
Mongolia	MNG	3968	2.6	2959134	Asia	3.978122476	6.471164632	3.59855299
Montenegro	MNE	6408	1.7	622159	Europe	3.273947214	5.793901388	3.806751561
Morocco	MAR	2878	2.5	34377511	Africa	5.085555926	7.53627443	3.459121171
Mozambique	MOZ	529	5.3	27977863	Africa	4.99254122	7.446814539	2.723654758
Myanmar	MMR	1161	2.2	53897154	Asia	5.288607511	7.731565833	3.065014786
Namibia	NAM	4674	3.5	2458830	Africa	3.894490103	6.390728503	3.669648496
Nepal	NPL	743	2.2	28513700	Asia	5.001107646	7.455053576	2.871177551
Netherlands	NLD	44291	1.7	16939923	Europe	4.765979423	7.228911432	4.6463142
New Zealand	NZL	37808	2	4595700	Asia	4.176906604	6.662351671	4.577583328
Nicaragua	NIC	2087	2.2	6082032	America	4.303439438	6.784048701	3.319500599
Niger	NER	359	7.6	19899120	Africa	4.838680329	7.298833871	2.555043821
Nigeria	NGA	2672	5.6	182201962	Africa	5.838614787	8.260553049	3.426791131
Norway	NOR	74482	1.8	5190239	Europe	4.231841791	6.715187357	4.872050277
Oman	OMN	15551	2.7	4490541	Asia	4.166454128	6.652298666	4.19174928
Pakistan	PAK	1435	3.6	188924874	Asia	5.854976175	8.276289141	3.156760089
Palau	PLW	13499	2.2	21291	Asia	1.75	4.32819606	4.130290704
Panama	PAN	13268	2.4	3929141	America	4.106148322	6.594297614	4.122809186
Paraguay	PRY	4081	2.5	6639123	America	4.3430139	6.822110715	3.610761428
Peru	PER	6027	2.4	31376670	America	5.044312099	7.49660685	3.78011026
Philippines	PHL	2904	2.9	100699395	Asia	5.57085543	8.003026861	3.463026832
Poland	POL	12559	1.3	37986412	Europe	5.130632498	7.579628274	4.098950605
Portugal	PRT	19223	1.2	10358076	Europe	4.543858099	7.015279093	4.283819697
Qatar	QAT	73653	2	2235355	Asia	3.851463731	6.349346504	4.867192767
Romania	ROU	8981	1.5	19815308	Europe	4.836774447	7.297000827	3.953308123
Russian Federation	RUS	9329	1.8	144096870	Europe	5.732667203	8.158654547	3.969848982
Rwanda	RWA	697	3.8	11609666	Africa	4.595367299	7.064819726	2.843449702
Samoa	WSM	3939	4	193228	Asia	2.745936484	5.286070059	3.595336236
Sao Tome and Principe	STP	1669	4.5	190344	Africa	2.739146104	5.279539192	3.222472799
Saudi Arabia	SAU	20482	2.7	31540372	Asia	5.046661863	7.498866811	4.311366962
Senegal	SEN	900	5	15129273	Africa	4.714935255	7.17981806	2.954039733
Serbia	SRB	5237	1.5	7095383	Europe	4.373026026	6.850975843	3.719103748
Seychelles	SYC	15390	2.3	93419	Africa	2.41775944	4.970435214	4.187239767
Sierra Leone	SLE	653	4.5	6453184	Africa	4.330187019	6.809774048	2.81500084
Singapore	SGP	52889	1.2	5535002	Asia	4.260882071	6.743117782	4.723363259
Slovak Republic	SVK	16089	1.4	5423801	Europe	4.251717798	6.734303747	4.206529488
